codigo_pais,pais,anio,vab_manuf_pib,vab_manuf_const,empleo_ind_pct,exp_manuf_pct,poblacion,var_vab,var_empleo,var_exp
BR,Brasil,2012,10.6759423074609,211017916187.455,23.8203108792852,33.2036805014074,196876111,-9.401513780612536,-0.37128302182183326,2.612385082549995
CN,China,2012,31.0143036500115,NA,30.2995918411543,93.9614842619085,1354190000,-1.7364130207122463,2.710018535628067,0.6647579740234777
DE,Alemania,2012,20.0472978765968,647708364225.573,28.1974895392439,83.374650711641,80425823,-0.37571050947681206,1.927533749211574,-0.080155097611323
GB,Reino Unido,2012,9.37476041233473,251967561669.82,19.0374933366112,65.8174144312987,63711000,0.5138538376552537,-0.5640968998622986,4.62838881592631
US,Estados Unidos,2012,11.8575622570978,NA,19.5790234623623,62.0211232401721,314339099,-0.7506468172800318,0.09433161486558372,-0.18076863920140074
AR,Argentina,2013,15.0110542553443,88159380793.3244,22.4740954383685,31.6131741589715,42582455,-1.3521019131841117,1.5813277989279895,1.4187992530690474
BR,Brasil,2013,10.4796122911618,217376521201.298,23.6555352577017,32.5715331907528,198478299,-1.838994728942056,-0.6917442111420646,-1.9038471070332075
CN,China,2013,30.1275021518721,NA,30.099901194464,94.0381521516055,1363240000,-2.8593306757640824,-0.6590539164262665,0.08159501768119082
DE,Alemania,2013,19.7600541430605,647369352151.557,27.7258458848951,83.394056461991,80645605,-1.432830176438038,-1.6726441327068797,0.023275360297603243
GB,Reino Unido,2013,9.5981044921613,262617315065.428,18.8516166810779,58.5143208890498,64138000,2.3823977360819537,-0.9763714804608137,-11.09598972453102
US,Estados Unidos,2013,11.7719128367022,NA,19.8032434024193,61.1842460654034,316726282,-0.7223189601583746,1.1452049203987569,-1.3493421773868253
AR,Argentina,2014,14.7727785491821,83703763913.6824,22.7948760583105,31.2620642375565,43024071,-1.5873349207126353,1.427334954689008,-1.1106443144538125
BR,Brasil,2014,10.3370973963623,207188011969.658,23.5736439351302,32.1790576689769,200085127,-1.3599252609726165,-0.34618249673652457,-1.204964836863509
CN,China,2014,29.8300397890826,NA,29.9004572371177,94.0039246038441,1371860000,-0.9873449225561326,-0.6626066845129119,-0.036397512050456715
